,mit_user_id,target_price,created_on,,closed_price,round_id,is_influenced,mit_course_id,accuracy,is_revised,is_suggested,is_noop,confidence,is_noop2,gs_user_name,,CrowdMean,CrowdMedian,Market6MMean,Market6MMedian,median,mode_11,mode_21,mode_22,post_social,unimodal,pre,Market6MNormal_Market6M_Mean,Market6MNormal_Market6M_Mode,CrowdNormal_Crowd_Mean,CrowdNormal_Crowd_Mode,Market6MUniform_Market6M_Mean,Market6MUniform_Market6M_Mode,CrowdUniform_Crowd_Mean,CrowdUniform_Crowd_Mode,deGrootModel,conjugateCrowdMarket6MPredicted_Mean,conjugateCrowdMarket6MPredicted_Median,Market6MNormal_Market6MPredicted_Mode,Market6MNormal_Market6MPredicted_Mean,Market6MUniform_Market6MPredicted_Mode,Market6MUniform_Market6MPredicted_Mean
31,1251,2151,11/1/16,53:25.8,2105.91,6,FALSE,2,,FALSE,FALSE,FALSE,7,FALSE,9/18/16,43:50.0,2116.625,2127.125,2129.540365,2139.56,,2116.625,2132.640741,2132.640741,FALSE,FALSE,2180,2158.310506,2164.25,2141.296072,2138.79,2164.434267,2165.17,2154.561111,2148,2117.53125,2161.805964,2166.848886,2177.413451,2167.949606,2178.047614,2174.181772
32,1565,2300,11/1/16,55:26.2,2191.95,6,FALSE,2,,FALSE,FALSE,FALSE,1,FALSE,9/20/16,33:26.1,2122.181818,2129.25,2129.540365,2139.56,,2122.181818,2138.617857,2138.617857,FALSE,FALSE,2162,2152.178828,2161.74,2137.489302,2135,2159.44069,2163.75,2138.83913,2135,2118,2152.805964,2157.848886,2166.652814,2160.262456,2177.413451,2170.578259
33,1912,2080,11/1/16,38:48.7,2191.95,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,10/11/16,44:07.4,2120.941176,2127.125,2129.540365,2139.56,,2120.941176,2038.45,2038.45,FALSE,FALSE,2169.85,2155.069755,2163.66,2136.984375,2135,2159.909535,2163.75,2145.554167,2135,2123.583824,2156.730964,2161.773886,2174.001051,2163.873568,2177.554376,2171.662181
34,1723,2115,11/1/16,47:06.5,2213.35,6,FALSE,2,,FALSE,FALSE,FALSE,2,FALSE,9/26/16,17:52.5,2120.771429,2125,2129.540365,2139.56,,2120.771429,2137.803448,2137.803448,FALSE,FALSE,2090,2108.631783,2099.73,2114.074416,2125,2132.578571,2139.76,2128.5,2130,2120.057143,2116.805964,2121.848886,2109.920398,2112.551267,2153.738036,2144.566728
35,1704,2150,11/1/16,50:31.4,2101.32,6,FALSE,2,,FALSE,FALSE,FALSE,4,FALSE,9/25/16,55:51.7,2121.583333,2127.125,2129.540365,2139.56,,2121.583333,2038.45,2038.45,FALSE,FALSE,2200,2163.354668,2168.27,2143.716388,2140,2172.375926,2170.95,2183.322857,2175,2122.972222,2171.805964,2176.848886,2178.993825,2174.295101,2182.808869,2182.247456
36,10,2093,11/1/16,07:03.5,2164.45,6,FALSE,2,,FALSE,FALSE,FALSE,4,FALSE,6/6/16,50:33.9,2120.810811,2125,2129.540365,2139.56,,2120.810811,2144.55,2144.55,FALSE,FALSE,2094,2111.532835,2105.26,2116.382087,2125,2135.22062,2141.34,2128.735294,2129.25,2120.837838,2118.805964,2123.848886,2111.762491,2115.332447,2153.738036,2144.566728
37,1796,2163,11/1/16,10:16.1,2164.45,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/27/16,42:01.5,2121.921053,2127.125,2129.540365,2139.56,,2121.921053,2064.7,2064.7,FALSE,FALSE,2225,2167.862136,2170.86,2154.569972,2148,2184.164,2183.87,2208.25,2178,2123.552632,2184.305964,2189.348886,2183.513494,2179.880045,2190.499352,2191.383535
38,1416,2160,11/1/16,59:27.9,2085.18,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/19/16,45:03.7,2122.897436,2129.25,2129.540365,2139.56,,2122.897436,2145.760714,2145.760714,FALSE,FALSE,2101.21,2116.774062,2115.48,2118.879011,2125,2137.217381,2144.29,2133.323529,2130,2121.39,2122.410964,2127.453886,2113.000618,2120.479214,2153.899093,2146.670211
39,1793,2130,11/1/16,04:26.2,2085.18,6,FALSE,2,,FALSE,FALSE,FALSE,8,FALSE,9/27/16,26:33.8,2123.075,2129.625,2129.540365,2139.56,,2123.075,2145.217241,2145.217241,FALSE,FALSE,2125,2133.175494,2139.18,2127.300692,2130,2145.07115,2152.14,2136.538235,2130,2122.95,2134.305964,2139.348886,2141.87013,2137.772312,2161.448651,2154.486919
40,1255,2150,11/1/16,11:15.8,2191.95,6,FALSE,2,,FALSE,FALSE,FALSE,4,FALSE,9/18/16,17:48.0,2123.731707,2130,2129.540365,2139.56,,2123.731707,2064.7,2064.7,FALSE,FALSE,2260,2172.13706,2175.03,2192.860841,2175,,,2300,2300,2126.414634,2201.805964,2206.848886,2187.378868,2185.016171,,
41,1255,2150,11/1/16,11:20.9,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/18/16,17:48.0,0,0,0,0,0,0,0,0,TRUE,FALSE,2150,2147.023936,2153.74,2134.421992,2135,2156.329677,2163.12,2145.376667,2135,2124.357143,2146.805964,2151.848886,2157.321559,2153.922,2174.001051,2164.955262
42,1874,2120.6,11/1/16,15:44.5,2180.39,6,FALSE,2,,FALSE,FALSE,FALSE,8,FALSE,10/4/16,29:54.7,2124.269767,2130,2129.540365,2139.56,,2124.269767,2142.114706,2142.114706,FALSE,FALSE,2210,2165.353305,2169.04,2149.365257,2150,2176.687105,2176.12,2199.2,2178,2126.348837,2176.805964,2181.848886,2181.802261,2176.787546,2184.399309,2185.005492
43,1874,2120.6,11/1/16,16:40.6,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,10/4/16,29:54.7,0,0,0,0,0,0,0,0,TRUE,FALSE,2120.6,2130.32557,2137.16,2127.307625,2130,2143.328879,2151.13,2136.655263,2130,2124.186364,2132.105964,2137.148886,2140.460879,2134.627121,2160.280986,2152.627195
44,1613,2010,11/1/16,22:55.1,2114.39,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/20/16,22:20.2,2121.648889,2129.25,2129.540365,2139.56,,2121.648889,2034.385714,2034.385714,FALSE,FALSE,2225,2167.862136,2170.86,2155.355861,2150,2184.164,2183.87,2219.333333,2180,2126.426667,2184.305964,2189.348886,2183.513494,2179.880045,2190.499352,2191.383535
45,1613,2010,11/1/16,22:58.1,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/20/16,22:20.2,0,0,0,0,0,0,0,0,TRUE,FALSE,2010,2063.962137,2063.37,2055.791055,2050,2129.540365,2139.56,2121.648889,2129.25,2119.221739,2076.805964,2081.848886,2065.881307,2072.096536,2153.697771,2143.611929
46,1276,2200,11/1/16,10:27.7,2191.95,6,FALSE,2,,FALSE,FALSE,FALSE,1,FALSE,9/18/16,14:19.4,2120.940426,2129.25,2129.540365,2139.56,,2120.940426,2139.320513,2139.320513,FALSE,FALSE,2112.31,2124.692365,2129.9,2123.622647,2125,2140.958,2147.26,2136.24359,2130,2119.074681,2127.960964,2133.003886,2126.08652,2128.588589,2158.459026,2151.339673
47,1276,2200,11/1/16,10:36.9,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/18/16,14:19.4,0,0,0,0,0,0,0,0,TRUE,FALSE,2200,2163.354668,2168.27,2147.093913,2140,2172.375926,2170.95,2173.558462,2160,2122.5875,2171.805964,2176.848886,2178.993825,2174.295101,2182.808869,2182.247456
48,1276,2200,11/1/16,10:39.5,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/18/16,14:19.4,0,0,0,0,0,0,0,0,TRUE,FALSE,2200,2163.354668,2168.27,2149.510482,2148,2172.375926,2170.95,2175.447143,2160,2124.167347,2171.805964,2176.848886,2178.993825,2174.295101,2182.808869,2182.247456
49,1387,2050,11/1/16,21:53.3,2181.9,6,FALSE,2,,FALSE,FALSE,FALSE,4,FALSE,9/19/16,20:38.6,2122.684,2129.625,2129.540365,2139.56,,2122.684,2033.411111,2033.411111,FALSE,FALSE,2290,2174.699301,2177.18,2220.565052,2200,,,2300,2300,2127.484,2216.805964,2221.848886,2190.499352,2187.997004,,
50,1387,2050,11/1/16,22:08.7,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/19/16,20:38.6,0,0,0,0,0,0,0,0,TRUE,FALSE,2050,2082.619887,2079.06,2090.199597,2100,2130.488897,2139.6,2122.684,2129.25,2121.258824,2096.805964,2101.848886,2085.188045,2089.032207,2153.697771,2143.611929
51,1714,2200,11/1/16,22:42.4,2121.87,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/26/16,55:41.0,2122.773077,2129.625,2129.540365,2139.56,,2122.773077,2055.446667,2055.446667,FALSE,FALSE,2245,2170.520616,2173.02,2172.193015,2163,,,2225,2200,2123.638462,2194.305964,2199.348886,2185.29519,2183.096772,2200.927809,2201.535129
52,1714,2128.39,11/1/16,23:11.7,2164.45,6,TRUE,2,,FALSE,TRUE,FALSE,5,FALSE,9/26/16,55:41.0,0,0,0,0,0,0,0,0,TRUE,FALSE,2200,2163.354668,2168.27,2152.989353,2150,2172.375926,2170.95,2178.51625,2175,2124.230189,2171.805964,2176.848886,2178.993825,2174.295101,2182.808869,2182.247456
53,1358,2139,11/1/16,28:28.5,2085.18,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/19/16,35:05.1,2123.177593,2129.625,2129.540365,2139.56,,2123.177593,2149.227949,2149.227949,FALSE,FALSE,2205,2164.390959,2168.48,2154.6082,2150,2173.4514,2171.37,2180.550667,2175,2124.399815,2174.305964,2179.348886,2180.896314,2175.590014,2183.513494,2183.899252
54,1358,2139,11/1/16,28:42.6,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/19/16,35:05.1,0,0,0,0,0,0,0,0,TRUE,FALSE,2139,2141.450278,2146.1,2133.322128,2130,2150.743592,2159.73,2143.202045,2135,2123.465273,2141.305964,2146.348886,2153.31526,2147.253714,2166.360897,2159.245338
55,1733,2080,11/1/16,30:14.6,2124.77,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/27/16,07:09.3,2122.689107,2129.625,2129.540365,2139.56,,2122.689107,2056.98125,2056.98125,FALSE,FALSE,2066,2092.142384,2088.55,2101.08371,2120.6,2130.488897,2139.6,2132.756667,2130,2122.439107,2104.805964,2109.848886,2095.18366,2097.448268,2153.738036,2144.566728
56,1733,2080,11/1/16,30:33.6,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/27/16,07:09.3,0,0,0,0,0,0,0,0,TRUE,FALSE,2080,2101.511504,2097.9,2108.581179,2122,2130.488897,2139.6,2131.742115,2130,2121.940175,2111.805964,2116.848886,2102.350708,2105.902134,2153.738036,2144.566728
57,1733,2080,11/1/16,30:58.8,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/27/16,07:09.3,0,0,0,0,0,0,0,0,TRUE,FALSE,2080,2101.511504,2097.9,2107.681931,2122,2130.488897,2139.6,2130.765849,2130,2121.217069,2111.805964,2116.848886,2102.350708,2105.902134,2153.738036,2144.566728
58,1579,2135.75,11/1/16,47:36.1,2144.74,6,FALSE,2,,FALSE,FALSE,FALSE,6,FALSE,9/20/16,20:52.8,2121.46339,2129.25,2129.540365,2139.56,,2121.46339,2059.538889,2059.538889,FALSE,FALSE,2240,2169.91652,2172.47,2170.776704,2163,,,2220,2200,2123.230339,2191.805964,2196.848886,2185.204595,2182.372082,2198.300563,2198.868577
59,1579,2135.75,11/1/16,47:46.4,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/20/16,20:52.8,0,0,0,0,0,0,0,0,TRUE,FALSE,2135.75,2139.644438,2143.16,2130.622158,2130,2150.743592,2159.73,2142.948696,2135,2121.7015,2139.680964,2144.723886,2153.254864,2145.140594,2165.545545,2158.080367
60,1300,2110,11/1/16,52:14.3,2191.95,6,FALSE,2,,FALSE,FALSE,FALSE,5,FALSE,9/18/16,41:48.7,2121.509672,2129.25,2129.540365,2139.56,,2121.509672,2147.45093,2147.45093,FALSE,FALSE,2221.97,2167.396256,2170.84,2160.923953,2151,2183.209444,2182.64,2204.125,2200,2123.345246,2182.790964,2187.833886,2183.372569,2179.309493,2187.378868,2188.597934
61,1300,2110,11/1/16,53:33.3,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/18/16,41:48.7,0,0,0,0,0,0,0,0,TRUE,FALSE,2110,2123.072308,2127.02,2121.250132,2128.39,2140.343967,2147.26,2137.334423,2130,2121.324032,2126.805964,2131.848886,2125.67381,2126.89454,2157.321559,2150.666772
62,1319,2164.2,11/1/16,55:13.2,2196.22,6,FALSE,2,,FALSE,FALSE,FALSE,4,FALSE,9/19/16,33:59.0,2122.004603,2129.25,2129.540365,2139.56,,2122.004603,2146.990889,2146.990889,FALSE,FALSE,2195,2162.236926,2166.89,2149.633134,2140,2170.326,2170.06,2178.51625,2163,2122.493492,2169.305964,2174.348886,2178.752239,2172.8935,2179.476997,2178.736402
63,1319,2164.2,11/1/16,55:21.0,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/19/16,33:59.0,0,0,0,0,0,0,0,0,TRUE,FALSE,2164.2,2153.025399,2163.12,2139.869063,2135.75,2159.909535,2163.75,2148.711395,2139,2122.663906,2153.905964,2158.948886,2167.97147,2161.316587,2177.554376,2171.137032
64,1546,2118,11/1/16,57:15.4,2085.18,6,FALSE,2,,FALSE,FALSE,FALSE,7,FALSE,9/20/16,40:31.6,2122.592154,2129.25,2129.540365,2139.56,,2122.592154,2146.740213,2146.740213,FALSE,FALSE,2170,2155.121573,2163.66,2142.336899,2139,2159.909535,2163.75,2149.855581,2139,2123.392154,2156.805964,2161.848886,2174.001051,2163.938559,2177.554376,2171.662181
65,1546,2118,11/1/16,57:19.2,2191.95,6,FALSE,2,,FALSE,FALSE,TRUE,0,FALSE,9/20/16,40:31.6,0,0,0,0,0,0,0,0,TRUE,FALSE,2118,2128.593025,2133.04,2125.02896,2129.25,2142.747607,2151.13,2137.460536,2135,2122.522576,2130.805964,2135.848886,2139.81665,2132.744977,2160.280986,2152.627195
